,pubmed_id,value,class,id_ontology
2,10192393,skin tumour,DiseaseClass,D012878
3,10192393,cancer,DiseaseClass,D009369
4,10192393,colon cancers,DiseaseClass,D003110
5,10192393,adenomatous polyposis coli,SpecificDisease,D011125
6,10192393,APC,SpecificDisease,D011125
8,10192393,skin tumours,DiseaseClass,D012878
9,10192393,pilomatricomas,SpecificDisease,D018296
10,10192393,pilomatricomas,SpecificDisease,D018296
11,10192393,skin tumour,DiseaseClass,D012878
12,10192393,tumour,Modifier,D009369
13,10192393,pilomatricomas,SpecificDisease,D018296
14,10192393,tumours,DiseaseClass,D009369
15,10192393,tumours,DiseaseClass,D009369
19,10194428,hemochromatosis,Modifier,D016399
20,10194428,hemochromatosis,SpecificDisease,D006432
21,10194428,Hereditary hemochromatosis,SpecificDisease,D006432
22,10194428,HH,SpecificDisease,D006432
23,10194428,autosomal recessive genetic disorder,DiseaseClass,D030342
24,10194428,HH,SpecificDisease,D006432
25,10194428,HH,Modifier,D006432
26,10194428,HH,Modifier,D006432
27,10194428,hemochromatosis,SpecificDisease,D006432
28,10194428,HH,Modifier,D006432
29,10194428,HH,Modifier,D006432
30,10194428,HH,Modifier,D006432
31,10194428,hemochromatosis,SpecificDisease,D006432
35,10196379,ovarian cancer,Modifier,D010051
36,10196379,breast cancer,Modifier,D001943
37,10196379,ovarian cancer,Modifier,D010051
38,10196379,ovarian cancer,Modifier,D010051
39,10196379,ovarian cancer,Modifier,D010051
40,10196379,ovarian cancer,Modifier,D010051
42,10196379,cancer,DiseaseClass,D009369
43,10196379,cancer,Modifier,D009369
44,10196379,ovarian cancer,SpecificDisease,D010051
45,10196379,ovarian cancer,Modifier,D010051
46,10196379,ovarian cancer,Modifier,D010051
50,10021369,adenomatous polyposis coli tumour,Modifier,D011125
51,10021369,adenomatous polyposis coli (APC) tumour,Modifier,D011125
52,10021369,colon carcinoma,Modifier,D003110
53,10021369,colon carcinoma,Modifier,D003110
54,10021369,cancer,SpecificDisease,D009369
58,100562,Familial deficiency of the seventh component of complement,SpecificDisease,OMIM:610102
59,100562,bacteremic infections due to Neisseria,DiseaseClass,D016870
60,100562,disseminated gonococcal infection,SpecificDisease,D004673
61,100562,meningococcal meningitis,SpecificDisease,D008585
62,100562,arthritis,DiseaseClass,D001168
63,100562,absence of functional C7,Modifier,OMIM:610102
64,100562,Complete absence of C7,SpecificDisease,OMIM:610102
65,100562,meningococcal meningitis,SpecificDisease,D008585
66,100562,arthritis,DiseaseClass,D001168
67,100562,C7 deficiency,SpecificDisease,OMIM:610102
68,100562,C7 deficiency,SpecificDisease,OMIM:610102
69,100562,bacteremic neisseria infections,SpecificDisease,D016870
73,10078749,oromandibular dystonia,SpecificDisease,D008538
74,10078749,oromandibular dystonia,SpecificDisease,D008538
75,10078749,dystonia,DiseaseClass,D004421
76,10078749,dystonic,Modifier,D004421
77,10078749,dopa-responsive dystonia,SpecificDisease,C538007
81,10085150,hereditary hemochromatosis,Modifier,D006432
82,10085150,autosomal recessive disease,DiseaseClass,D030342
83,10085150,hereditary hemochromatosis,SpecificDisease,D006432
84,10085150,hereditary hemochromatotic,Modifier,D006432
88,10090880,familial Mediterranean fever,SpecificDisease,D010505
89,10090880,Familial Mediterranean fever,SpecificDisease,D010505
90,10090880,FMF,SpecificDisease,D010505
91,10090880,recessive disorder,DiseaseClass,D030342
