value,synthetic_class
A-T,Modifer
AAPC,Modifer
AAS,Modifer
ACG1B,Modifer
ACTH deficiency,SpecificDisease
AD,SpecificDisease
ADCA type I,Modifer
ADNDI,SpecificDisease
ADO,Modifer
AFAP,SpecificDisease
AGU,SpecificDisease
AHC,SpecificDisease
AIH1,SpecificDisease
AKU,Modifer
ALD,SpecificDisease
ALPS,SpecificDisease
AMN,SpecificDisease
AO II,SpecificDisease
AO-2,SpecificDisease
AO-GLD,Modifer
AO2,SpecificDisease
AOII,Modifer
APC,Modifer
APC tumor,Modifer
APRT deficiency,SpecificDisease
APRT-HPRT-deficient,Modifer
ARA,Modifer
AS,SpecificDisease
AT,Modifer
ATLD,SpecificDisease
Aarskog-Scott Syndrome,SpecificDisease
Aarskog-Scott syndrome,SpecificDisease
Abnormal color vision,DiseaseClass
Abnormalities in the HDL,DiseaseClass
Absence of the seventh component of complement,SpecificDisease
Addison disease,SpecificDisease
Addison disease only,Modifer
Addison only,SpecificDisease
Addison's disease,SpecificDisease
Addisons disease,SpecificDisease
Adenomatous polyposis coli,SpecificDisease
AdolCALD,SpecificDisease
Adrenal insufficiency,DiseaseClass
Adrenoleukodystrophy,SpecificDisease
Adrenomyeloneuropathy,SpecificDisease
Adult onset globoid cell leukodystrophy,SpecificDisease
Alkaptonuria,SpecificDisease
Alstrom syndrome,SpecificDisease
Alveolar rhabdomyosarcoma,SpecificDisease
Alzheimer disease,SpecificDisease
Alzheimers disease,SpecificDisease
Analbuminemia,SpecificDisease
Angelman syndrome,SpecificDisease
Aniridia,SpecificDisease
Ankylosing spondylitis,SpecificDisease
Anterior segment developmental disorders,DiseaseClass
Argininemia,SpecificDisease
Aspartylglucosaminuria,SpecificDisease
Ataxia-telangiectasia,SpecificDisease
Atelosteogenesis type II,SpecificDisease
Atm deficiency,SpecificDisease
Attenuated adenomatous polyposis coli,Modifer
Autoimmune lymphoproliferative syndrome,SpecificDisease
Autosomal dominant myotonia congenita,SpecificDisease
Autosomal dominant neurohypophyseal diabetes insipidus,SpecificDisease
Autosomal recessive Alport syndrome,SpecificDisease
Autosomal recessive familial neurohypophyseal diabetes insipidus,SpecificDisease
Axenfeld-Rieger anomaly,SpecificDisease
Axenfeldt anomaly,SpecificDisease
B-NHL,Modifer
B-cell neoplasms,SpecificDisease
B-cell non-Hodgkins lymphomas,SpecificDisease
BFIC,SpecificDisease
BFLS,Modifer
BFLS syndrome,SpecificDisease
BMD,Modifer
BPAD,SpecificDisease
BRCA-associated hereditary ovarian cancers,SpecificDisease
BRCA-linked and sporadic ovarian cancer,CompositeMention
BRCA1 abnormalities,DiseaseClass
BRCA1 defects,SpecificDisease
BRCA1-linked than for BRCA2-linked cancers,CompositeMention
BZS,Modifer
Bannayan-Zonana (BZS) or Ruvalcaba-Riley-Smith syndrome,CompositeMention
Bannayan-Zonana syndrome,SpecificDisease
Bechterew's syndrome,SpecificDisease
Becker and Duchenne dystrophies,CompositeMention
Becker and Duchenne muscular dystrophy,CompositeMention
Becker muscular dystrophy,SpecificDisease
Benign familial infantile convulsions,SpecificDisease
Bipolar affective disorder,SpecificDisease
Borjeson-Forssman-Lehmann syndrome,Modifer
Brain Dysmyelinating Disease,DiseaseClass
Brain disease,DiseaseClass
Brca1 deficiency,SpecificDisease
Brca1-deficient,Modifer
Breast Cancer,Modifer
Breast cancer,SpecificDisease
Brugada syndrome,SpecificDisease
Burkitts lymphoma,SpecificDisease
C2 deficiency,SpecificDisease
C2-deficiency,SpecificDisease
C2-deficient,Modifer
C3 deficiency,SpecificDisease
C3-deficient,Modifer
C4 deficiency,SpecificDisease
C5 deficiency,SpecificDisease
C5 protein deficiency,SpecificDisease
C5-deficient,Modifer
C5D,Modifer
C6 and C7 deficiencies,CompositeMention
C6 deficiency,SpecificDisease
C6 or C7 deficiency,CompositeMention
C6-deficient,Modifer
C6D,SpecificDisease
C7 defects,SpecificDisease
C7 deficiency,SpecificDisease
C7 deficient,SpecificDisease
C7-deficient,Modifer
C7D,SpecificDisease
C9 deficiency,SpecificDisease
C9-deficient,Modifer
CAG/polyglutamine repeat disease,DiseaseClass
CAH,SpecificDisease
CCALD,SpecificDisease
CD,Modifer
CDM,SpecificDisease
CES,SpecificDisease
CETP deficiency,SpecificDisease
CETP-deficient,Modifer
CFND,SpecificDisease
CGKD,Modifer
CHD,SpecificDisease
CHH,SpecificDisease
CHM,Modifer
CHRPE,SpecificDisease
CHRPEs,SpecificDisease
CHS,Modifer
CL/P,SpecificDisease
CLD,Modifer
CLP,SpecificDisease
CM deficienty,SpecificDisease
CNSHA,SpecificDisease
CP,SpecificDisease
CRC,SpecificDisease
CT,SpecificDisease
CTX,SpecificDisease
Canavan,Modifer
Canavan disease,SpecificDisease
Cancer,Modifer
Central nervous system demyelination,DiseaseClass
Charcot-Marie-Tooth type 1,SpecificDisease
Chediak-Higashi syndrome,SpecificDisease
Choroideremia,SpecificDisease
Chronic hemolysis,SpecificDisease
Chronic neisserial infection,SpecificDisease
Chronic nonspherocytic hemolytic anemia,SpecificDisease
