id,pubmed_id,value,class,id_ontology,adenomatous,ald,apc,breast,cancer,deficiency,disease,disorder,dm,dmd,dystrophy,familial,g6pd,linked,muscular,myotonic,ovarian,pws,recessive,syndrome
0,10192393,skin tumour,DiseaseClass,D012878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10192393,cancer,DiseaseClass,D009369,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10192393,colon cancers,DiseaseClass,D003110,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10192393,adenomatous polyposis coli,SpecificDisease,D011125,1.04194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10192393,APC,SpecificDisease,D011125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10192393,skin tumours,DiseaseClass,D012878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10192393,pilomatricomas,SpecificDisease,D018296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10192393,pilomatricomas,SpecificDisease,D018296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10192393,skin tumour,DiseaseClass,D012878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10192393,tumour,Modifier,D009369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10192393,pilomatricomas,SpecificDisease,D018296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10192393,tumours,DiseaseClass,D009369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10192393,tumours,DiseaseClass,D009369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10194428,hemochromatosis,Modifier,D016399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10194428,hemochromatosis,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10194428,Hereditary hemochromatosis,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10194428,HH,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10194428,autosomal recessive genetic disorder,DiseaseClass,D030342,0,0,0,0,0,0,0,1.06325,0,0,0,0,0,0,0,0,0,0,1.05049,0
18,10194428,HH,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10194428,HH,Modifier,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10194428,HH,Modifier,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10194428,hemochromatosis,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,10194428,HH,Modifier,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,10194428,HH,Modifier,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10194428,HH,Modifier,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10194428,hemochromatosis,SpecificDisease,D006432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
27,10196379,breast cancer,Modifier,D001943,0,0,0,1.05058,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
29,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
30,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
31,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
32,10196379,cancer,DiseaseClass,D009369,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10196379,cancer,Modifier,D009369,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10196379,ovarian cancer,SpecificDisease,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
35,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
36,10196379,ovarian cancer,Modifier,D010051,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,1.07344,0,0,0
37,10021369,adenomatous polyposis coli tumour,Modifier,D011125,1.04194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10021369,adenomatous polyposis coli (APC) tumour,Modifier,D011125,1.04194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,10021369,colon carcinoma,Modifier,D003110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10021369,colon carcinoma,Modifier,D003110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10021369,cancer,SpecificDisease,D009369,0,0,0,0,1.21116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,100562,Familial deficiency of the seventh component of complement,SpecificDisease,OMIM:610102,0,0,0,0,0,1.29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,100562,bacteremic infections due to Neisseria,DiseaseClass,D016870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,100562,disseminated gonococcal infection,SpecificDisease,D004673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,100562,meningococcal meningitis,SpecificDisease,D008585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,100562,arthritis,DiseaseClass,D001168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,100562,absence of functional C7,Modifier,OMIM:610102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,100562,Complete absence of C7,SpecificDisease,OMIM:610102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,100562,meningococcal meningitis,SpecificDisease,D008585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,100562,arthritis,DiseaseClass,D001168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,100562,C7 deficiency,SpecificDisease,OMIM:610102,0,0,0,0,0,1.29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,100562,C7 deficiency,SpecificDisease,OMIM:610102,0,0,0,0,0,1.29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
