,pubmed_id,value,class,id_ontology
0,10192393|t|A common human skin tumour is caused by activating mutations in beta-catenin.,,,
1,"10192393|a|WNT signalling orchestrates a number of developmental programs. In response to this stimulus, cytoplasmic beta-catenin (encoded by CTNNB1) is stabilized, enabling downstream transcriptional activation by members of the LEF/TCF family. One of the target genes for beta-catenin/TCF encodes c-MYC, explaining why constitutive activation of the WNT pathway can lead to cancer, particularly in the colon. Most colon cancers arise from mutations in the gene encoding adenomatous polyposis coli (APC), a protein required for ubiquitin-mediated degradation of beta-catenin, but a small percentage of colon and some other cancers harbour beta-catenin-stabilizing mutations. Recently, we discovered that transgenic mice expressing an activated beta-catenin are predisposed to developing skin tumours resembling pilomatricomas. Given that the skin of these adult mice also exhibits signs of de novo hair-follicle morphogenesis, we wondered whether human pilomatricomas might originate from hair matrix cells and whether they might possess beta-catenin-stabilizing mutations. Here, we explore the cell origin and aetiology of this common human skin tumour. We found nuclear LEF-1 in the dividing tumour cells, providing biochemical evidence that pilomatricomas are derived from hair matrix cells. At least 75% of these tumours possess mutations affecting the amino-terminal segment, normally involved in phosphorylation-dependent, ubiquitin-mediated degradation of the protein. This percentage of CTNNB1 mutations is greater than in all other human tumours examined thus far, and directly implicates beta-catenin/LEF misregulation as the major cause of hair matrix cell tumorigenesis in humans.. ",,,
2,10192393,skin tumour,DiseaseClass,D012878
3,10192393,cancer,DiseaseClass,D009369
4,10192393,colon cancers,DiseaseClass,D003110
5,10192393,adenomatous polyposis coli,SpecificDisease,D011125
6,10192393,APC,SpecificDisease,D011125
7,10192393,colon and some other cancers,CompositeMention,D003110|D009369
8,10192393,skin tumours,DiseaseClass,D012878
9,10192393,pilomatricomas,SpecificDisease,D018296
10,10192393,pilomatricomas,SpecificDisease,D018296
11,10192393,skin tumour,DiseaseClass,D012878
12,10192393,tumour,Modifier,D009369
13,10192393,pilomatricomas,SpecificDisease,D018296
14,10192393,tumours,DiseaseClass,D009369
15,10192393,tumours,DiseaseClass,D009369
17,10194428|t|HFE mutations analysis in 711 hemochromatosis probands: evidence for S65C implication in mild form of hemochromatosis.,,,
18,"10194428|a|Hereditary hemochromatosis (HH) is a common autosomal recessive genetic disorder of iron metabolism. The HFE candidate gene encoding an HLA class I-like protein involved in HH was identified in 1996. Two missense mutations have been described  C282Y, accounting for 80% to 90% of HH chromosomes, and H63D, which is associated with a milder form of the disease representing 40% to 70% of non-C282Y HH chromosomes. We report here on the analysis of C282Y, H63D, and the 193A-- > T substitution leading to the S65C missense substitution in a large series of probands and controls. The results confirm that the C282Y substitution was the main mutation involved in hemochromatosis, accounting for 85% of carrier chromosomes, whereas the H63D substitution represented 39% of the HH chromosomes that did not carry the C282Y mutation. In addition, our screening showed that the S65C substitution was significantly enriched in probands with at least one chromosome without an assigned mutation. This substitution accounted for 7. 8% of HH chromosomes that were neither C282Y nor H63D. This enrichment of S65C among HH chromosomes suggests that the S65C substitution is associated with the mild form of hemochromatosis. ",,,
19,10194428,hemochromatosis,Modifier,D016399
20,10194428,hemochromatosis,SpecificDisease,D006432
21,10194428,Hereditary hemochromatosis,SpecificDisease,D006432
22,10194428,HH,SpecificDisease,D006432
23,10194428,autosomal recessive genetic disorder,DiseaseClass,D030342
24,10194428,HH,SpecificDisease,D006432
25,10194428,HH,Modifier,D006432
26,10194428,HH,Modifier,D006432
27,10194428,hemochromatosis,SpecificDisease,D006432
28,10194428,HH,Modifier,D006432
29,10194428,HH,Modifier,D006432
30,10194428,HH,Modifier,D006432
31,10194428,hemochromatosis,SpecificDisease,D006432
33,10196379|t|Germline BRCA1 alterations in a population-based series of ovarian cancer cases.,,,
